0 2 1
2 1 2
1 3 3
3 4 4
4 7 5
7 5 6
5 6 7
6 8 8
8 9 9
9 11 10
11 10 11
10 12 12
12 14 13
14 13 14
13 15 15
15 16 16
16 17 17
17 18 18
18 19 19
19 20 20
20 21 21
21 22 22
22 23 23
23 24 24
24 25 25
25 26 26
26 27 27
27 28 28
28 29 29
29 30 30
30 31 31
31 32 32
32 33 33
33 34 34
34 35 35
35 36 36
36 37 37
37 38 38
38 39 39
39 40 40
40 59 41
59 42 42
42 57 43
57 44 44
44 55 45
55 46 46
46 56 47
56 43 48
43 58 49
58 41 50
41 60 51
60 45 52
45 54 53
54 47 54
47 63 55
63 48 56
48 51 57
51 50 58
50 49 59
49 52 60
52 53 61
53 62 62
62 64 63
64 61 64
61 65 65
65 66 66
66 67 67
67 68 68
68 69 69
69 71 70
71 70 71
70 72 72
72 73 73
73 74 74
74 75 75
75 77 76
77 76 77
76 78 78
78 79 79
79 80 80
80 81 81
81 82 82
82 83 83
83 84 84
84 86 85
86 88 86
88 90 87

